alias_id,entity_id,iso_alpha3,alias,normalized_alias,alias_type,match_priority,safe_for_unstructured_text,ambiguity_note
ALIAS_00001,M49_533,ABW,Aruba,aruba,canonical_name,1,True,
ALIAS_00002,M49_533,ABW,ABW,abw,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00003,M49_533,ABW,AW,aw,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00004,M49_533,ABW,533,533,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00005,M49_004,AFG,Afghanistan,afghanistan,canonical_name,1,True,
ALIAS_00006,M49_004,AFG,Islamic Republic of Afghanistan,islamic republic of afghanistan,official_name,2,True,
ALIAS_00007,M49_004,AFG,AFG,afg,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00008,M49_004,AFG,AF,af,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00009,M49_004,AFG,004,004,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00010,M49_024,AGO,Angola,angola,canonical_name,1,True,
ALIAS_00011,M49_024,AGO,Republic of Angola,republic of angola,official_name,2,True,
ALIAS_00012,M49_024,AGO,AGO,ago,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00013,M49_024,AGO,AO,ao,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00014,M49_024,AGO,024,024,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00015,M49_660,AIA,Anguilla,anguilla,canonical_name,1,True,
ALIAS_00016,M49_660,AIA,AIA,aia,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00017,M49_660,AIA,AI,ai,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00018,M49_660,AIA,660,660,m49_code,2,False,Numeric code; use only in structured fields.
ALIAS_00019,M49_248,ALA,Åland Islands,aland islands,canonical_name,1,True,
ALIAS_00020,M49_248,ALA,ALA,ala,iso_alpha3,1,False,Use in structured fields; too short for unrestricted text matching.
ALIAS_00021,M49_248,ALA,AX,ax,iso_alpha2,2,False,Use in structured fields; too short for unrestricted text matching.
